單字,詞性,中文解釋,例句,例句翻譯
decline,v.,下降；拒絕,The number of students choosing to study abroad has declined recently.,選擇出國留學的學生人數最近有所下降。
dedicate,v.,奉獻,She decided to dedicate her life to helping underprivileged children.,她決定奉獻一生幫助弱勢兒童。
deficiency,n.,缺乏；不足,A vitamin D deficiency can affect bone health.,維生素D缺乏會影響骨骼健康。
deliberate,adj.,故意的；深思熟慮的,The decision to close the school was a deliberate choice made after much discussion.,關閉學校的決定是經過深思熟慮後做出的。
denounce,v.,譴責,Many people denounced the government's decision to cut public services.,許多人譴責政府削減公共服務的決定。
depict,v.,描繪,The historical novel vividly depicts life in ancient Rome.,這本歷史小說生動地描繪了古羅馬的生活。
deprive,v.,剝奪,Lack of sleep can deprive students of their ability to concentrate.,睡眠不足會剝奪學生專注的能力。
derive,v.,源自；得到,Many English words derive from Latin or Greek origins.,許多英文單字源自拉丁語或希臘語。
designate,v.,指定,The principal designated a new area for student parking.,校長指定了一個新的學生停車區。
deteriorate,v.,惡化,Without proper maintenance, the old building will continue to deteriorate.,如果沒有適當的維護，這棟老舊建築將會持續惡化。
alter,v.,改變,The school decided to alter the schedule for final exams.,學校決定改變期末考的日程。
anticipate,v.,預期,We anticipate a large crowd for the celebrity's concert.,我們預期會有大批人潮參加這位名人的演唱會。
apprehend,v.,理解；逮捕,The police were able to apprehend the suspect quickly.,警方能夠迅速逮捕嫌犯。
assert,v.,斷言，主張,He asserted his innocence despite the strong evidence against him.,儘管有強烈證據對他不利，他仍堅稱自己無辜。
attain,v.,達到，獲得,She worked hard to attain her goal of getting into a top university.,她努力工作以實現進入頂尖大學的目標。
authorize,v.,授權,Only the principal can authorize students to leave school early.,只有校長才能授權學生提早離校。
commence,v.,開始,The graduation ceremony will commence at 9:00 AM sharp.,畢業典禮將於上午九點整開始。
compensate,v.,補償,The company offered to compensate customers for the damaged products.,該公司提出補償顧客受損的產品。
comply,v.,遵守,All students must comply with the school's rules and regulations.,所有學生都必須遵守學校的規章制度。
conceal,v.,隱藏,She tried to conceal her disappointment with a smile.,她試圖用微笑來掩飾她的失望。
concur,v.,同意,The teachers all concurred that the new teaching method was effective.,老師們都同意新的教學方法是有效的。
confront,v.,面對,It's important to confront your fears rather than avoid them.,面對恐懼而不是逃避它們是很重要的。
consequence,n.,結果,Cheating on the exam will have serious consequences.,考試作弊將會產生嚴重的後果。
conserve,v.,保育，節省,We should conserve water by taking shorter showers.,我們應該透過縮短淋浴時間來節省用水。
constitute,v.,構成,A group of five students constitutes the debate team.,五名學生組成辯論隊。
consult,v.,諮詢,You should consult a doctor if your symptoms persist.,如果你的症狀持續，你應該諮詢醫生。
contemplate,v.,沉思，考慮,He spent hours contemplating his future career options.,他花了數小時沉思他未來的職業選擇。
contend,v.,競爭；主張,The two teams will contend for the championship title.,兩支隊伍將爭奪冠軍頭銜。
convey,v.,傳達,She used a poem to convey her feelings of love and sorrow.,她用一首詩來傳達她的愛與悲傷。
derive,v.,源自,Many English words derive from Latin.,許多英文單字源自拉丁文。
designate,v.,指定,The principal designated him as the leader of the student council.,校長指定他為學生會主席。
detain,v.,拘留,The police had to detain the suspect for questioning.,警方不得不拘留嫌疑犯進行訊問。
deviate,v.,偏離,The pilot had to deviate from the planned flight path due to bad weather.,由於惡劣天氣，飛行員不得不偏離原定的飛行路線。
disclose,v.,揭露,The company refused to disclose the details of the new product.,該公司拒絕透露新產品的細節。
distort,v.,扭曲,The media sometimes distorts the truth to make a story more dramatic.,媒體有時會扭曲事實，使故事更具戲劇性。
divert,v.,轉移,The road closure forced traffic to divert to another route.,道路封閉迫使交通轉移到另一條路線。
dominate,v.,支配,The tall buildings dominate the city skyline.,這些高樓大廈主宰了城市的天際線。
elaborate,v.,詳盡闡述,Could you elaborate on your plan for the school fair?,你能詳盡闡述你對校園園遊會的計畫嗎？
elevate,v.,提升,Good nutrition can elevate your mood and energy levels.,良好的營養可以提升你的情緒和能量水平。
elicit,v.,引出,The teacher's question was designed to elicit thoughtful responses from students.,老師的問題旨在引出學生深思熟慮的回應。
embark,v.,開始，著手,After graduation, she will embark on a new career journey.,畢業後，她將開始新的職業旅程。
embrace,v.,擁抱；欣然接受,We should embrace new challenges as opportunities for growth.,我們應該欣然接受新的挑戰，將其視為成長的機會。
emerge,v.,浮現,New evidence emerged that changed the course of the investigation.,新的證據浮現，改變了調查的方向。
endeavor,v.,努力,We must endeavor to protect endangered species.,我們必須努力保護瀕危物種。
enhance,v.,提升，增強,This software can enhance the quality of your photos.,這個軟體可以提升你照片的品質。
enforce,v.,執行,The school must enforce its rules strictly to maintain order.,學校必須嚴格執行其規章以維持秩序。
engage,v.,從事；吸引,Many students engage in extracurricular activities after school.,許多學生在放學後從事課外活動。
enroll,v.,註冊,He decided to enroll in an online course to improve his English.,他決定報名一個線上課程來提升他的英文。
entail,v.,牽涉，需要,Being a class leader entails a lot of responsibility.,擔任班長牽涉到很多責任。
entitle,v.,賦予權利,Your student ID card entitles you to discounts at various stores.,你的學生證賦予你在多家商店享有折扣的權利。
envision,v.,設想,She envisioned a future where everyone had access to quality education.,她設想了一個每個人都能獲得優質教育的未來。
eradicate,v.,根除,Scientists are working to eradicate diseases like malaria.,科學家們正在努力根除瘧疾等疾病。
erect,v.,建立，豎立,The community decided to erect a new monument in the park.,社區決定在公園裡豎立一座新紀念碑。
escalate,v.,升高,Tensions between the two countries escalated after the incident.,事件發生後，兩國之間的緊張關係升級。
evoke,v.,喚起,The old photograph evoked fond memories of her childhood.,那張舊照片喚起了她童年美好的回憶。
excel,v.,擅長,She excels in both academics and sports.,她在學業和體育方面都表現出色。
exhibit,v.,展示,The museum will exhibit ancient artifacts from Egypt next month.,博物館下個月將展出埃及的古代文物。
expel,v.,驅逐,The student was expelled from school for serious misconduct.,這名學生因嚴重行為不當被學校開除。
exploit,v.,利用；剝削,Some companies exploit natural resources without considering environmental impact.,有些公司利用自然資源卻不考慮環境影響。
extinguish,v.,熄滅,The firefighters quickly extinguished the blaze.,消防員迅速撲滅了大火。
alter,v.,改變,The new policy will significantly alter the school's dress code.,新政策將會大幅改變學校的服裝規定。
anticipate,v.,預期；預料,We anticipate a large crowd for the graduation ceremony.,我們預期畢業典禮會有很多人潮。
applaud,v.,鼓掌,The audience enthusiastically applauded the students' performance.,觀眾熱情地為學生的表演鼓掌。
apprehend,v.,理解；逮捕,It took me a while to apprehend the complex theory.,我花了一段時間才理解這個複雜的理論。
arbitrary,adj.,任意的；武斷的,The teacher's decision seemed arbitrary, as there was no clear reason.,老師的決定看起來很武斷，因為沒有明確的理由。
assert,v.,斷言；主張,She asserted that she had completed all her homework assignments.,她斷言她已經完成了所有的家庭作業。
assess,v.,評估,The teacher will assess our understanding through a final exam.,老師將透過期末考評估我們的理解程度。
attribute,v.,歸因於,He attributed his success to hard work and perseverance.,他將自己的成功歸因於努力工作和毅力。
bias,n.,偏見,It's important to recognize your own biases when evaluating information.,評估資訊時，認識自己的偏見很重要。
coincide,v.,同時發生,My birthday often coincides with the school's annual sports day.,我的生日經常與學校的年度運動會同時發生。
compensate,v.,補償,The school offered to compensate students for the cancelled field trip.,學校提出要補償學生因校外教學取消的損失。
comply,v.,遵守,All students must comply with the school's safety regulations.,所有學生都必須遵守學校的安全規定。
conceive,v.,構想；設想,He conceived a brilliant plan for the science project.,他為科學專案構想了一個絕妙的計畫。
concur,v.,同意,I concur with your opinion that teamwork is essential for this project.,我同意你的看法，團隊合作對這個專案至關重要。
confine,v.,限制,The doctor advised her to confine her activities due to her injury.,醫生建議她因傷限制活動。
conjecture,n.,推測,His theory was based on conjecture rather than solid evidence.,他的理論是基於推測而非確鑿證據。
consequently,adv.,因此；結果,He didn't study for the exam; consequently, he failed.,他沒有為考試讀書；因此，他不及格了。
constitute,v.,構成,These elements constitute the basic structure of the universe.,這些元素構成了宇宙的基本結構。
contemplate,v.,沈思；仔細考慮,She needed some time to contemplate her future career path.,她需要一些時間來仔細考慮她未來的職業道路。
contradict,v.,反駁；與...矛盾,His actions often contradict his words, making him untrustworthy.,他的行為經常與他的言論矛盾，使他不可信。
converge,v.,匯聚；趨同,All the roads converge at the city center.,所有的道路都在市中心匯聚。
correlate,v.,相關,Study habits often correlate with academic performance.,學習習慣通常與學業成績相關。
critique,n.,評論,The art teacher offered a constructive critique of my painting.,美術老師對我的畫作提出了建設性的評論。
deduce,v.,推斷,From the clues, the detective was able to deduce who the culprit was.,根據線索，偵探能夠推斷出誰是罪魁禍首。
deficiency,n.,缺乏；不足,Many students suffer from a deficiency in critical thinking skills.,許多學生缺乏批判性思考能力。
degenerate,v.,退化；惡化,Without regular exercise, muscles can start to degenerate.,如果沒有規律運動，肌肉會開始退化。
deliberate,adj.,深思熟慮的；故意的,The committee made a deliberate decision after much discussion.,委員會經過充分討論後做出了深思熟慮的決定。
denounce,v.,譴責,The principal publicly denounced the act of bullying.,校長公開譴責霸凌行為。
depict,v.,描繪,The novel depicts life in a small rural village during the 1950s.,這本小說描繪了1950年代一個偏遠鄉村的生活。
derive,v.,源自；得到,Many English words derive from Latin.,許多英文字源自拉丁語。
detrimental,adj.,有害的,Smoking is detrimental to your health.,吸菸對你的健康有害。
devise,v.,設計；發明,Scientists are trying to devise a new method to combat climate change.,科學家們正在努力設計一種對抗氣候變化的新方法。
diagnose,v.,診斷,The doctor diagnosed her illness as a common cold.,醫生診斷她的病是普通感冒。
discrepancy,n.,差異；不一致,There was a discrepancy between his account and the witness's statement.,他的說法和目擊者的證詞之間存在差異。
dispel,v.,驅散,The teacher tried to dispel the students' fears about the upcoming exam.,老師試圖驅散學生對即將到來的考試的恐懼。
distort,v.,扭曲,The media can sometimes distort the truth to create a more dramatic story.,媒體有時會扭曲事實以製造更具戲劇性的故事。
diverge,v.,分歧；分開,Their opinions diverged on the best way to solve the problem.,他們對於解決問題的最佳方法意見分歧。
dominate,v.,支配；主導,The school's basketball team has dominated the league for years.,這所學校的籃球隊多年來一直主導著聯賽。
drastic,adj.,劇烈的；嚴厲的,The government took drastic measures to control the pandemic.,政府採取了劇烈措施來控制疫情。
elaborate,v.,詳盡闡述,Could you elaborate on your point about the environmental impact?,你能否詳盡闡述你關於環境影響的觀點？
elicit,v.,引出；誘出,The teacher's questions were designed to elicit thoughtful responses from students.,老師的問題旨在引出學生深思熟慮的回答。
eloquent,adj.,口才流利的；雄辯的,The lawyer delivered an eloquent speech in court.,這位律師在法庭上發表了一篇雄辯的演講。
embody,v.,體現；具體化,The new building embodies the modern architectural style.,這棟新建築體現了現代建築風格。
emerge,v.,出現；浮現,New evidence emerged during the investigation.,調查期間出現了新的證據。
emphasize,v.,強調,The principal emphasized the importance of academic integrity.,校長強調了學術誠信的重要性。
endeavor,v.,努力,We must endeavor to achieve our goals despite the challenges.,儘管面臨挑戰，我們仍必須努力實現我們的目標。
endorse,v.,認可；支持,Many celebrities endorse various products in commercials.,許多名人在廣告中代言各種產品。
enhance,v.,提升；增強,Eating healthy food can enhance your overall well-being.,吃健康的食物可以增強你的整體幸福感。
entail,v.,牽涉；需要,Starting a new business will entail a lot of hard work and dedication.,創辦新事業將需要大量的努力和奉獻。
exaggerate,v.,誇大,It's common for some students to exaggerate their achievements.,有些學生誇大自己的成就很常見。
acquire,v.,獲得,Students can acquire new knowledge through online courses.,學生可以透過線上課程獲得新知識。
acknowledge,v.,承認,He acknowledged his mistake and apologized to the teacher.,他承認了自己的錯誤並向老師道歉。
anticipate,v.,預期,We anticipate that the exam results will be released next week.,我們預期考試結果將於下週公佈。
benevolent,adj.,仁慈的,The benevolent principal often helped students in need.,那位仁慈的校長經常幫助有需要的學生。
capacity,n.,容量；能力,Our school hall has a seating capacity of 500 people.,我們學校禮堂的容納量是500人。
coherent,adj.,連貫的；清晰的,Your essay needs to have a coherent argument to get a good grade.,你的作文需要有連貫的論點才能得到好分數。
commence,v.,開始,The graduation ceremony will commence at 9 a.m. sharp.,畢業典禮將於上午九點準時開始。
compensate,v.,補償,The company offered to compensate customers for the inconvenience.,該公司提出補償顧客所造成的不便。
comply,v.,遵守,All students must comply with the school's rules and regulations.,所有學生都必須遵守學校的規章制度。
comprehensive,adj.,全面的,The science textbook provides a comprehensive overview of physics.,這本科學教科書提供了物理學的全面概述。
conceive,v.,構想,She conceived a brilliant plan for the school's annual festival.,她為學校的年度慶典構想了一個絕妙的計畫。
concurrent,adj.,同時發生的,The two events were concurrent, so I couldn't attend both.,這兩個活動同時發生，所以我無法兩者都參加。
confine,v.,限制,Please confine your comments to the topic being discussed.,請將您的評論限制在正在討論的主題上。
consequence,n.,結果,Failing to study properly can have serious consequences for your grades.,學習不當可能會對你的成績產生嚴重的後果。
consistent,adj.,一致的,His efforts in studying have been consistent throughout the semester.,他在本學期學習上的努力始終如一。
constitute,v.,構成,These factors constitute the main challenges for our project.,這些因素構成了我們專案的主要挑戰。
contemplate,v.,沉思；考慮,He spent hours contemplating his future career path.,他花了數小時沉思他未來的職業道路。
contemporary,adj.,當代的,Contemporary art often reflects current social issues.,當代藝術常反映當前的社會問題。
convention,n.,慣例；大會,It's a social convention to greet elders with respect.,尊重長輩是一種社會慣例。
correlate,v.,相關,High attendance often correlates with better academic performance.,高出席率通常與更好的學業表現相關。
credible,adj.,可信的,You should always check if your sources of information are credible.,你應該總是檢查你的資訊來源是否可信。
culminate,v.,達到高潮；告終,The year-long project will culminate in a final presentation.,這個為期一年的專案將以最終報告告終。
deduce,v.,推斷,From the clues, Sherlock Holmes was able to deduce who the culprit was.,從這些線索，夏洛克·福爾摩斯能夠推斷出誰是罪魁禍首。
deficient,adj.,缺乏的,Many students are deficient in critical thinking skills.,許多學生缺乏批判性思考能力。
denote,v.,表示；意指,In this diagram, the red line denotes the growth rate.,在這張圖表中，紅線表示成長率。
derive,v.,源自；得到,Many English words derive from Latin or Greek.,許多英文單字源自拉丁文或希臘文。
detrimental,adj.,有害的,Excessive screen time can be detrimental to your eyesight.,過度使用螢幕對視力有害。
devise,v.,設計；想出,The students had to devise a solution to the complex problem.,學生們必須想出一個解決複雜問題的方案。
dilemma,n.,困境,He faced a dilemma: either miss the party or fail the test.,他面臨一個困境：要麼錯過派對，要麼考試不及格。
discrepancy,n.,不一致,There was a discrepancy between his statement and the evidence.,他的陳述與證據之間存在不一致。
disperse,v.,分散,The police ordered the crowd to disperse peacefully.,警方命令人群和平散開。
distort,v.,扭曲,The media can sometimes distort the truth for sensationalism.,媒體有時會為了聳動而扭曲真相。
diversify,v.,多樣化,To attract more customers, the shop decided to diversify its products.,為了吸引更多顧客，這家商店決定使其產品多樣化。
elaborate,v.,詳述,Could you elaborate on your proposed solution to the problem?,你能詳述你提出的問題解決方案嗎？
eligible,adj.,合格的,Only students with a GPA above 3.5 are eligible for the scholarship.,只有平均成績在3.5以上的學生才有資格申請獎學金。
empirical,adj.,經驗的；實證的,The scientist based his conclusions on empirical evidence.,這位科學家將其結論建立在實證證據上。
endeavor,n.,努力,Winning the national competition was a great endeavor for the team.,贏得全國比賽對團隊來說是一項巨大的努力。
endorse,v.,支持；背書,Many celebrities endorse products they use and believe in.,許多名人為他們使用並相信的產品代言。
enhance,v.,提升,Regular exercise can enhance your physical and mental well-being.,定期運動可以提升你的身心健康。
eradicate,v.,根除,The government launched a campaign to eradicate illiteracy.,政府發起了一場根除文盲的運動。
explicit,adj.,清楚的；明確的,The teacher gave explicit instructions for the assignment.,老師對作業給出了明確的指示。
facilitate,v.,促進,Group discussions can facilitate a deeper understanding of the topic.,小組討論可以促進對主題更深入的理解。
feasible,adj.,可行的,The plan to build a new library seems feasible within our budget.,建造新圖書館的計畫在我們的預算內似乎是可行的。
fluctuate,v.,波動,Stock prices can fluctuate daily due to various market factors.,股價每天都可能因各種市場因素而波動。
formulate,v.,規劃；闡明,It's important to formulate a clear study plan before exams.,考試前制定一個清晰的學習計畫很重要。
foster,v.,培養；促進,Our school aims to foster creativity and critical thinking among students.,我們學校旨在培養學生的創造力和批判性思維。
fragile,adj.,脆弱的,The antique vase was very fragile, so we handled it with care.,這個古董花瓶非常脆弱，所以我們小心翼翼地處理它。
fundamental,adj.,基本的,Understanding the fundamental principles of math is crucial.,理解數學的基本原理至關重要。
generic,adj.,通用的；一般的,The store sells generic brands that are cheaper than name brands.,這家商店販售比名牌便宜的通用品牌商品。
genuine,adj.,真實的,He showed genuine interest in learning about different cultures.,他對了解不同文化表現出真正的興趣。
alter,v.,改變,The new policy will significantly alter the school's dress code.,新政策將會大幅改變學校的服裝規定。
anticipate,v.,預期,We anticipate a large crowd at the school's anniversary celebration.,我們預期學校校慶將會有大量人潮。
apprehend,v.,理解；逮捕,It was difficult for the students to apprehend the complex theory.,學生們很難理解這個複雜的理論。
arbitrary,adj.,任意的,The teacher's decision seemed arbitrary, with no clear reason.,老師的決定似乎是任意的，沒有明確的理由。
assert,v.,斷言；主張,She asserted her right to express her opinion freely.,她主張她有自由表達意見的權利。
assimilate,v.,同化；吸收,It takes time for new students to assimilate into a new school environment.,新學生需要時間才能融入新的學校環境。
attain,v.,達到；獲得,He worked hard to attain his goal of getting into a top university.,他努力工作以達成進入頂尖大學的目標。
attribute,v.,歸因於,The success of the project was attributed to the team's hard work.,這個專案的成功歸因於團隊的努力。
bias,n.,偏見,The news report showed a clear bias towards one political party.,這篇新聞報導明顯偏向某個政黨。
commence,v.,開始,The final exam will commence at 9:00 AM sharp.,期末考將於上午九點準時開始。
comply,v.,遵守,All students must comply with the school's rules and regulations.,所有學生都必須遵守學校的規章制度。
concur,v.,同意,I concur with your assessment that more practice is needed.,我同意你的評估，需要更多的練習。
confine,v.,限制,The severe weather confined us to the classroom during recess.,惡劣的天氣把我們限制在教室裡，無法出去休息。
conform,v.,遵守；符合,He refused to conform to his friends' expectations and chose his own path.,他拒絕順從朋友的期望，選擇了自己的道路。
confront,v.,面對,She had to confront her fear of public speaking during the presentation.,她在簡報時必須面對她對公開演講的恐懼。
consequently,adv.,因此,He didn't study for the test; consequently, he failed.,他沒有為考試讀書；因此，他不及格了。
constitute,v.,構成,These ingredients constitute the main components of the cake.,這些成分構成了蛋糕的主要部分。
contemplate,v.,沈思；考慮,She would often contemplate her future career options.,她經常會沈思她未來的職業選擇。
contend,v.,競爭；主張,The two teams will contend for the championship title.,這兩支隊伍將爭奪冠軍頭銜。
contradict,v.,反駁；矛盾,His actions often contradict his words, making him untrustworthy.,他的行為常常與他的言詞相矛盾，使他不可信賴。
contrive,v.,策劃；設法,The students contrived a plan to raise money for their class trip.,學生們策劃了一個為班級旅行籌款的計畫。
converge,v.,會合；趨同,All the roads converge at the city center.,所有的道路都在市中心會合。
correlate,v.,相關,There's a strong correlation between healthy eating and academic performance.,健康飲食與學業成績之間有很強的關聯性。
deduce,v.,推斷,From the clues, Sherlock Holmes was able to deduce who the culprit was.,根據線索，夏洛克·福爾摩斯能夠推斷出誰是罪犯。
deflect,v.,偏轉,The goalkeeper managed to deflect the ball away from the goal.,守門員成功地將球從球門前偏轉開來。
depict,v.,描繪,The novel depicts the struggles of a young artist in the city.,這部小說描繪了一位年輕藝術家在城市中的掙扎。
deride,v.,嘲笑,It's wrong to deride someone for their mistakes; instead, offer support.,嘲笑別人的錯誤是錯的；相反地，應該提供支持。
deviate,v.,偏離,We should not deviate from the original plan without good reason.,我們不應無故偏離原定計畫。
devise,v.,設計；發明,They had to devise a new strategy to win the competition.,他們必須設計一個新的策略來贏得比賽。
diffuse,v.,散播；擴散,The pleasant aroma of freshly baked cookies diffused through the house.,新鮮出爐餅乾的宜人香氣瀰漫在整個房子裡。
disperse,v.,分散,The police ordered the crowd to disperse peacefully.,警方命令人群和平散去。
disrupt,v.,中斷；擾亂,A sudden power outage disrupted the class during the lecture.,一場突如其來的停電打斷了講座中的課程。
distort,v.,扭曲,The media can sometimes distort the truth to create sensational stories.,媒體有時會扭曲事實以製造聳人聽聞的故事。
diverge,v.,分歧,Their opinions diverged on the best approach to the problem.,他們對解決問題的最佳方法意見分歧。
elicit,v.,引出,The teacher's challenging questions were meant to elicit critical thinking from students.,老師的挑戰性問題旨在引導學生進行批判性思考。
elucidate,v.,闡明,Can you elucidate your point further to make it clearer?,你能進一步闡明你的觀點，讓它更清楚嗎？
emit,v.,排放；發出,Factories emit a lot of pollutants into the atmosphere.,工廠向大氣排放大量污染物。
encompass,v.,包含,The course will encompass various topics, from history to science.,這門課程將包含從歷史到科學的各種主題。
endeavor,v.,努力,He will endeavor to complete the project on time.,他將努力按時完成這個專案。
endorse,v.,認可；支持,Many celebrities endorse products they believe in.,許多名人都支持他們信任的產品。
engender,v.,產生；引起,The new policy might engender some resistance from the public.,新政策可能會引起民眾的一些阻力。
enhance,v.,提升,Regular exercise can enhance your physical and mental well-being.,規律運動可以提升你的身心健康。
enlighten,v.,啟發,The documentary helped to enlighten me about global warming.,這部紀錄片幫助我了解了全球暖化。
enumerate,v.,列舉,Before starting, let me enumerate the main points of my presentation.,在開始之前，讓我列舉一下我簡報的重點。
envision,v.,設想,She envisions a future where everyone has access to quality education.,她設想一個每個人都能接受優質教育的未來。
equate,v.,等同,You shouldn't equate wealth with happiness.,你不應該把財富等同於幸福。
eradicate,v.,根除,Scientists are working hard to eradicate diseases like malaria.,科學家們正努力根除瘧疾等疾病。
erode,v.,侵蝕,Strong winds and rain can erode the soil over time.,強風和雨水會隨著時間侵蝕土壤。
exacerbate,v.,加劇；惡化,His rude comments only served to exacerbate the tension in the room.,他粗魯的評論只會加劇房間裡的緊張氣氛。
exceed,v.,超過,The total cost of the trip will exceed our initial budget.,這次旅行的總費用將會超出我們最初的預算。
comply,v.,遵守,Students must comply with the school's rules regarding cell phone usage.,學生必須遵守學校關於手機使用的規定。
dedicate,v.,奉獻,She decided to dedicate her life to helping underprivileged children.,她決定奉獻一生幫助弱勢兒童。
elaborate,adj.,精心製作的,The traditional temple featured elaborate carvings and colorful paintings.,這座傳統寺廟的特色是精緻的雕刻和彩繪。
frequent,adj.,頻繁的,Power outages are a frequent problem in this old neighborhood.,停電是這個老社區常見的問題。
illustrate,v.,說明,The teacher used diagrams to illustrate the complex scientific concept.,老師用圖表來說明複雜的科學概念。
justify,v.,證明...是正當的,Can you justify your decision to quit the school club so suddenly?,你能解釋你為何如此突然退出社團的決定嗎？
maintain,v.,維持,It's important to maintain a healthy diet and regular exercise.,維持健康的飲食和規律的運動很重要。
notion,n.,概念,The notion that success comes easily is a common misconception.,成功來得容易這種概念是一種常見的誤解。
oppose,v.,反對,Many students openly opposed the new policy on uniform changes.,許多學生公開反對關於制服變更的新政策。
perceive,v.,察覺,People often perceive me as shy, but I'm actually quite outgoing once I get to know them.,人們常覺得我很害羞，但一旦我認識他們，我其實很外向。
qualify,v.,使有資格,Her excellent grades qualified her for a scholarship to a top university.,她優異的成績使她有資格獲得頂尖大學的獎學金。
reflect,v.,反映,The decline in sales reflects a change in consumer preferences.,銷售額的下降反映了消費者偏好的改變。
scheme,n.,計畫,The government launched a new scheme to encourage young people to start businesses.,政府推出了一項新計畫，鼓勵年輕人創業。
tendency,n.,傾向,He has a tendency to procrastinate when faced with difficult tasks.,他在面對困難任務時有拖延的傾向。
undergo,v.,經歷,The old building will undergo a major renovation next year.,這棟老舊建築明年將進行一次大翻修。
valid,adj.,有效的,Your student ID card is only valid for this academic year.,你的學生證只在本學年有效。
welfare,n.,福利,The organization works to improve the welfare of animals in the city.,這個組織致力於改善城市中動物的福利。
yield,v.,產生,The investment is expected to yield a high return over time.,這項投資預計會隨著時間產生高回報。
accelerate,v.,加速,The car accelerated quickly as it entered the highway.,汽車進入高速公路後迅速加速。
bias,n.,偏見,It's important to recognize your own biases when evaluating information.,在評估資訊時，認識自己的偏見很重要。
clarify,v.,闡明,Could you please clarify what you mean by "active participation"?,您能否澄清一下您所說的「積極參與」是什麼意思？
decline,v.,下降,The number of students choosing to study abroad has declined recently.,選擇出國留學的學生人數最近有所下降。
embrace,v.,接受,We should embrace new technologies to improve our learning methods.,我們應該擁抱新科技來改進我們的學習方法。
facilitate,v.,促進,The new software will facilitate communication among team members.,新軟體將促進團隊成員之間的溝通。
grasp,v.,理解,It took me a while to grasp the complex theories in quantum physics.,我花了一段時間才理解量子物理學中複雜的理論。
hazard,n.,危險,Smoking is a serious health hazard that can lead to many diseases.,吸菸是一種嚴重的健康危害，可能導致許多疾病。
impose,v.,施加,The government decided to impose stricter regulations on environmental pollution.,政府決定對環境污染實施更嚴格的法規。
inherent,adj.,固有的,There are inherent risks in any business venture.,任何商業冒險都存在固有的風險。
legitimate,adj.,合法的,Is this online store a legitimate business, or is it a scam?,這家網路商店是合法的企業，還是詐騙？
manipulate,v.,操縱,Some politicians try to manipulate public opinion through social media.,一些政治人物試圖透過社群媒體操縱輿論。
oblige,v.,迫使,Parents are obliged to provide their children with education.,父母有義務為孩子提供教育。
predominant,adj.,主要的,The predominant color in the painting was blue, giving it a calm feeling.,這幅畫中主要的顏色是藍色，給人一種平靜的感覺。
reconcile,v.,和解,After a long argument, the two friends decided to reconcile.,經過長時間的爭吵，這兩個朋友決定和解。
scrutinize,v.,詳細檢查,The teacher scrutinized every detail of the student's research paper.,老師仔細檢查了學生研究論文的每一個細節。
subsequent,adj.,隨後的,The initial plan failed, but subsequent attempts proved more successful.,最初的計畫失敗了，但隨後的嘗試證明更成功。
tolerate,v.,容忍,I cannot tolerate people who are constantly late for appointments.,我無法容忍那些總是約會遲到的人。
unanimous,adj.,一致同意的,The committee reached a unanimous decision to approve the budget.,委員會一致同意批准預算。
versatile,adj.,多才多藝的,She is a versatile actress who can play a wide range of characters.,她是一位多才多藝的女演員，可以扮演多種角色。
vivid,adj.,生動的,The novel contains vivid descriptions of the ancient city.,這部小說對古城有生動的描寫。
allocate,v.,分配,The school board decided to allocate more funds to arts programs.,校董會決定分配更多資金給藝術課程。
conceal,v.,隱藏,He tried to conceal his disappointment behind a smile.,他試圖用微笑來掩飾他的失望。
deviate,v.,偏離,We should not deviate from the original plan without a good reason.,我們不應該沒有充分理由就偏離原計畫。
endorse,v.,支持,Many celebrities endorse various products in advertisements.,許多名人在廣告中代言各種產品。
foresee,v.,預見,It's difficult to foresee all the challenges we might face in the future.,很難預見我們未來可能面臨的所有挑戰。
hinder,v.,阻礙,Heavy rain hindered our progress during the hiking trip.,大雨阻礙了我們徒步旅行的進度。
initiate,v.,開始,The company decided to initiate a new marketing campaign next month.,公司決定下個月啟動一項新的行銷活動。
merge,v.,合併,The two small companies decided to merge to form a larger corporation.,這兩家小公司決定合併，形成一家更大的企業。
omit,v.,遺漏,Please do not omit any important details when writing your report.,請在撰寫報告時不要遺漏任何重要細節。
perpetual,adj.,永久的,The perpetual noise from the construction site was very annoying.,建築工地持續不斷的噪音非常惱人。
reinforce,v.,加強,The teacher used examples to reinforce the main points of the lesson.,老師使用例子來加強課程的重點。
interpret,v.,解釋,學生應該學習如何正確解釋圖表和數據。,Students should learn how to correctly interpret charts and data.
justify,v.,證明...有理,你必須提供足夠的證據來證明你的論點。,You must provide enough evidence to justify your argument.
manipulate,v.,操縱,廣告商有時會試圖操縱消費者的購買慾望。,Advertisers sometimes try to manipulate consumers' desire to buy.
mediate,v.,調解,老師介入調解了兩位同學之間的爭執。,The teacher intervened to mediate the dispute between the two students.
navigate,v.,導航,我們需要一張地圖來導航穿過這座陌生的城市。,We need a map to navigate through this unfamiliar city.
perceive,v.,察覺,學生通常會把學測英文視為一個挑戰。,Students often perceive the GSAT English test as a challenge.
persuade,v.,說服,他成功說服父母讓他參加暑期營。,He successfully persuaded his parents to let him attend the summer camp.
prioritize,v.,優先處理,學測前夕，學生需要學會優先處理最重要的科目。,Before the GSAT, students need to learn to prioritize the most important subjects.
qualify,v.,使合格,良好的溝通能力能讓你更有資格勝任這份工作。,Good communication skills will qualify you for this job.
